-2609.962646	0
-2605.531494	0
-2601.100342	0
-2596.669189	0
-2592.238037	0
-2587.806641	0
-2583.375488	0
-2578.944336	39
-2574.513184	106
-2570.082031	171
-2565.650879	266
-2561.219727	354
-2556.788574	423
-2552.357422	453
-2547.926270	472
-2543.494873	444
-2539.063721	447
-2534.632568	456
-2530.201416	478
-2525.770264	459
-2521.339111	425
-2516.907959	405
-2512.476807	403
-2508.045654	404
-2503.614502	409
-2499.183105	440
-2494.751953	427
-2490.320801	422
-2485.889648	423
-2481.458496	452
-2477.027344	421
-2472.596191	401
-2468.165039	419
-2463.733887	429
-2459.302734	447
-2454.871582	473
-2450.440186	466
-2446.009033	455
-2441.577881	422
-2437.146729	402
-2432.715576	431
-2428.284424	444
-2423.853271	476
-2419.422119	487
-2414.990967	461
-2410.559814	436
-2406.128418	406
-2401.697266	385
-2397.266113	393
-2392.834961	425
-2388.403809	403
-2383.972656	406
-2379.541504	432
-2375.110352	453
-2370.679199	424
-2366.248047	405
-2361.816895	430
-2357.385498	441
-2352.954346	447
-2348.523193	473
-2344.092041	448
-2339.660889	437
-2335.229736	448
-2330.798584	458
-2326.367432	432
-2321.936279	446
-2317.505127	451
-2313.073730	458
-2308.642578	452
-2304.211426	439
-2299.780273	446
-2295.349121	439
-2290.917969	441
-2286.486816	429
-2282.055664	421
-2277.624512	412
-2273.193359	401
-2268.761963	438
-2264.330811	421
-2259.899658	395
-2255.468506	421
-2251.037354	422
-2246.606201	431
-2242.175049	451
-2237.743896	440
-2233.312744	407
-2228.881592	419
-2224.450439	428
-2220.019043	420
-2215.587891	413
-2211.156738	418
-2206.725586	407
-2202.294434	410
-2197.863281	398
-2193.432129	388
-2189.000977	407
-2184.569824	404
-2180.138672	381
-2175.707275	381
-2171.276123	365
-2166.844971	413
-2162.413818	442
-2157.982666	442
-2153.551514	459
-2149.120361	453
-2144.689209	422
-2140.258057	413
-2135.826904	418
-2131.395508	457
-2126.964355	456
-2122.533203	426
-2118.102051	397
-2113.670898	424
-2109.239746	421
-2104.808594	390
-2100.377441	374
-2095.946289	389
-2091.515137	437
-2087.083984	449
-2082.652588	411
-2078.221436	393
-2073.790283	435
-2069.359131	453
-2064.927979	438
-2060.496826	432
-2056.065674	415
-2051.634521	470
-2047.203247	462
-2042.772095	463
-2038.340942	436
-2033.909790	409
-2029.478638	410
-2025.047363	420
-2020.616211	439
-2016.185059	462
-2011.753906	455
-2007.322754	437
-2002.891479	480
-1998.460327	445
-1994.029175	414
-1989.598022	427
-1985.166870	402
-1980.735596	413
-1976.304443	432
-1971.873291	441
-1967.442139	443
-1963.010986	399
-1958.579712	404
-1954.148560	408
-1949.717407	421
-1945.286255	404
-1940.855103	422
-1936.423828	434
-1931.992676	406
